Site no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius
ULANNE08,3781,Primary,538.08,649.51,14.67
ULANNE09,3781,Primary,520.87,645.64,14.77
ULANNE13,3781,Primary,509.02,640.06,14.93
WLR01N8C,3781,Primary,444.97,619.76,15.23
WLR09N6F,3781,Primary,459.42,623.11,15.16
WLR28N7L,3781,Primary,474.87,626.53,15.05
WLR35P1L,3781,Primary,464.47,626.55,15
WLR82N3C,3781,Primary,436.45,627.05,15.14
WLR84N6C,3781,Primary,403.43,615.11,15.41
HEWJOE29,3781,Secondary,404.25,612,15.48
KLL05N5C,3781,Secondary,405.56,611.07,15.45
MW064,3781,Secondary,400.26,601.47,15.65
ULANNE10,3781,Secondary,529.91,647.36,14.74
ULANWR03,3781,Secondary,543.8,653.16,14.62
ULANWR04,3781,Secondary,522.75,645.21,14.81
ULANWR06,3781,Secondary,547.96,652.87,14.6
ULANWR07,3781,Secondary,548.29,642.36,14.83
ULANWR14,3781,Secondary,560.36,659.42,14.44
ULANWR15,3781,Secondary,550.11,654.81,14.55
ULANWR25,3781,Secondary,466.37,636.31,15.06
ULANWR26,3781,Secondary,462.15,634.69,15.1
BYL49N5U,3782,Primary,383.47,615.1,15.48
MNB18N3M,3782,Primary,253.04,634.38,16.45
MNB23N5C,3782,Primary,309.8,617.3,16.79
SHL11N6C,3782,Primary,183.06,624.75,16.93
SHL28N6C,3782,Primary,267.62,638.79,16.63
SHL31N7C,3782,Primary,248.43,637.72,16.61
SHL40N2C,3782,Primary,319.73,641.61,16.29
GNG08N6U,3782,Secondary,278.12,589.01,16.58
SHL10N3C,3782,Secondary,224.8,615.69,16.93
BYL51N1U,3783,Primary,415,612.09,15.55
BYL54N2C,3783,Primary,383.17,612.59,15.51
BYL56N5V,3783,Primary,407.46,607.65,15.56
BYL83N7U,3783,Primary,489.69,626.85,15.29
EC_T_097,3783,Primary,346.29,603.54,15.7
GNG42N5M,3783,Primary,307.69,602.94,16.37
KRB10N4M,3783,Primary,293.87,593.83,16.39
KRB15N4C,3783,Primary,370.96,619.97,15.69
KRB17N6M,3783,Primary,441.23,639.35,15.23
KRB34N6M,3783,Primary,227.05,616.07,16.45
MMS07N8L,3783,Primary,325.93,595.01,15.86
MMS34N6M,3783,Primary,308.65,573.89,16.31
MMS43N7L,3783,Primary,317.75,600.62,15.7
WDD05N7C,3783,Primary,621.23,682.13,14.2
WLR04N6M,3783,Primary,454.74,618.53,15.23
WLR38N5U,3783,Primary,506.64,628.47,15
EC_T_120,3783,Primary,371.92,602.36,15.67
BYL52N4C,3784,Primary,426.27,620.79,15.31
DNM01N5U,3784,Primary,331.75,636.15,16.5
DNM10N8C,3784,Primary,282.56,656.01,16.12
EL_ST111,3784,Primary,458.2,615.76,15.32
GGL08N1M,3784,Primary,435.46,727.35,14.94
KRB21N5U,3784,Primary,267.37,603.51,16.61
KRB28N6U,3784,Primary,292.95,616.29,16.07
PRK34,3784,Primary,507.02,747.84,15.33
WDD22N5F,3784,Primary,462.36,694.61,14.99
GGL35N4R,3784,Primary,472.18,732.97,15.08
PRK58,3784,Secondary,467.22,756.35,15.19
WDD27,3784,Secondary,670.9,709.75,14.06
BYL10N7L,3785,Primary,407.07,626.47,15.32
ELA_RB1,3785,Primary,407.37,619.26,15.32
ELA_RT10,3785,Primary,380.82,609.95,15.54
ELA_RT6,3785,Primary,401.92,607.22,15.55
GGL17N7C,3785,Primary,346.55,684.95,15.64
GGL18N8M,3785,Primary,352.11,720.76,15.66
GGL32N5R,3785,Primary,524.46,725.41,14.89
GGL37N8M,3785,Primary,463.88,717.95,15.09
GNG05N6C,3785,Primary,316.84,620.42,16.13
GNG09B3U,3785,Primary,265.64,584.64,16.69
GNG13N4C,3785,Primary,278.07,606.75,16.22
GNG60N5C,3785,Primary,380.49,612.75,15.85
GNG62N2U,3785,Primary,331.52,604.08,15.96
GNG63N6C,3785,Primary,280.35,591.47,16.28
GNG64N5C,3785,Primary,302.1,593.24,16.26
GNG65N1C,3785,Primary,362.13,591.28,16.21
GNG68N6C,3785,Primary,349.19,593.8,16.14
GNG74N1U,3785,Primary,337.08,607.13,15.98
GNG76N6U,3785,Primary,364.74,612.75,15.85
GNG77N3L,3785,Primary,316.48,606.27,15.98
HEWJOE05,3785,Primary,422.59,626.04,15.18
MMS35N4C,3785,Primary,334.05,573.74,16.34
MMS40N8U,3785,Primary,378,608.57,15.55
MNB01N5C,3785,Primary,296.56,620.18,16.48
MNB03N8C,3785,Primary,452.98,675.71,15.65
MNB08N5U,3785,Primary,338.09,647.54,16.06
MNB11N5C,3785,Primary,350.7,637.56,16.26
MNB16N7C,3785,Primary,344.14,657.77,15.96
MNB19N7C,3785,Primary,416.71,671.86,15.78
MNB24N5L,3785,Primary,327.07,639.59,16.19
MNB37N3C,3785,Primary,357.29,643.72,16.34
MNB38N6C,3785,Primary,352.4,654.94,16.08
MNB40N8C,3785,Primary,356.05,661.2,15.95
MRW09N8C,3785,Primary,341.93,603.95,15.97
SHL04N4C,3785,Primary,200.39,620.13,16.83
SHL06N7L,3785,Primary,228.03,628.92,16.52
SHL33N6M,3785,Primary,294.14,636.54,16.22
SHL34N8C,3785,Primary,339.94,638.93,16.16
SHL35N8C,3785,Primary,343.5,648.94,16
SHL38N5U,3785,Primary,287.17,620.72,16.9
SHL50,3785,Primary,333.23,648.21,16.05
WLR02B1U,3785,Primary,511.21,640.48,14.79
WLR71N3M,3785,Primary,412.24,611.79,15.47
WLR73N7U,3785,Primary,406,609.26,15.52
WLR76N7L,3785,Primary,418.5,617.51,15.36
WLR83N1C,3785,Primary,424.07,617.59,15.36
EC_T_118,3785,Primary,376.23,595.33,15.8
GGL28N6M,3785,Primary,352.25,683.31,15.67
GNG66N7M,3785,Secondary,306.6,591.69,16.21
WAMBB17,3785,Secondary,382.96,786.73,15.54
12A_A14,3786,Primary,395.77,610.21,15.46
12B_A14,3786,Primary,401.55,611.72,15.42
13a_A14,3786,Primary,445.64,621.34,15.2
13e_A14,3786,Primary,446.78,620.22,15.22
13G_A14,3786,Primary,439.37,621.16,15.19
13h_A14,3786,Primary,443.77,621.77,15.18
BYL09Q8V,3786,Primary,462.04,645.21,14.93
BYL65N2U,3786,Primary,581.83,666.34,14.28
BYL75N6F,3786,Primary,456.03,633.93,15.16
COBB0493,3786,Primary,673.54,672.87,13.79
DRD09N7U,3786,Primary,439.16,620.14,15.23
EC_T_254,3786,Primary,662.31,675.17,13.76
EC_T_255,3786,Primary,662.31,675.17,13.76
EC_T_259,3786,Primary,614.81,662.17,14.09
EC_T_261,3786,Primary,597.1,655.68,14.25
EC_T_262,3786,Primary,802.17,710.75,12.85
EC_T_263,3786,Primary,856.16,728.49,12.66
EC_T_264,3786,Primary,819.76,705.41,12.89
EC_T_268,3786,Primary,831.99,709.91,12.87
EC_T_272,3786,Primary,753.2,668.23,13.66
EC_T_274,3786,Primary,740.97,669.72,13.63
EC_T_288,3786,Primary,935.08,795.92,12.21
EL_PT05,3786,Primary,432.17,624.63,15.12
EL_ST110,3786,Primary,411.07,613.5,15.37
ELA_RB10,3786,Primary,391.52,604.98,15.61
FTG12,3786,Primary,675.07,666.04,13.66
FTG15,3786,Primary,789.05,694.38,13.02
FTG16,3786,Primary,730.98,672.21,13.35
FTG17,3786,Primary,733.84,681.73,13.24
FTG18,3786,Primary,754.83,685.78,13.17
FTG19,3786,Primary,683.32,665.01,13.64
FTG20,3786,Primary,677.25,666.49,13.64
GRW06N6U,3786,Primary,747.54,689.65,13.3
GRW10N7U,3786,Primary,709.54,674.99,13.36
GRW13N8F,3786,Primary,740.66,683.4,13.17
MMS05B3L,3786,Primary,357.61,605.56,15.62
MNH01N5U,3786,Primary,654.98,666.57,13.9
MNH02N2V,3786,Primary,647.79,672.01,13.79
MNH03N4F,3786,Primary,633.35,662.22,13.99
MNH04N5C,3786,Primary,694.64,680.23,13.66
MNH05N7C,3786,Primary,721.29,687.49,13.54
MNH06N7F,3786,Primary,689.05,681.48,13.65
MNH07N6U,3786,Primary,705.8,682.44,13.63
MNH08N8L,3786,Primary,692.09,683.69,13.61
MNH11N7C,3786,Primary,640.7,668.17,13.92
MNH17N6F,3786,Primary,669.24,675.74,13.78
MNH18N6F,3786,Primary,677.81,676.14,13.77
MNH19N2F,3786,Primary,707.57,693.15,13.5
MNH20N8F,3786,Primary,691,687.71,13.58
MNHA0N8U,3786,Primary,617.68,654.85,14.18
MNHA3N2U,3786,Primary,652.51,673.77,13.76
MW988,3786,Primary,470.65,630.66,15.06
OLN14N7C,3786,Primary,782.24,719.32,13.33
TLB13N4M,3786,Primary,554.58,636.38,14.84
WLR06A3F,3786,Primary,458.61,626.17,15.1
WLR15N3L,3786,Primary,470.19,627.99,15.05
WLR29N5F,3786,Primary,452.95,624.41,15.11
WLR32N4L,3786,Primary,378.34,602.35,15.67
WLR41N1U,3786,Primary,567.3,654.9,14.27
WLR43N7F,3786,Primary,601.35,657.51,14.21
EC_T_267,3786,Secondary,799.82,691.81,13.13
WLR03A8F,3786,Secondary,461.17,627.71,15.04
WLR10N4F,3786,Secondary,457.04,624.94,15.11
WLR26N3M,3786,Secondary,383.57,606.64,15.57
ARAK26,3787,Primary,23.03,1805.89,19.62
CHAPZ12,3787,Primary,24.84,1805.13,19.61
CHAPZ19,3787,Primary,21.04,1811.95,19.58
BYR55J4U,3787,Primary,9.46,1808.71,19.62
BYR56J5C,3787,Primary,27.68,1806.23,19.61
BYR57J8M,3787,Primary,31.61,1805.24,19.62
BYR58J7L,3787,Primary,15.65,1808.57,19.6
BYR59J4U,3787,Primary,29.98,1806.47,19.61
BYR60J7U,3787,Primary,29.61,1807.13,19.61
BYR61J6M,3787,Primary,10.68,1816.29,19.56
BYR62J4M,3787,Primary,10.1,1810.17,19.62
CDG13J3L,3787,Primary,9.68,1787.94,19.57
TWEED45,3787,Primary,7.53,1790.53,19.57
BOD07Q3D,3788,Primary,4.94,1029.55,15.15
BOD20Q3D,3788,Primary,0,994.94,15.14
BOD37A3D,3788,Primary,7.17,1033.08,15.11
BRK59Q1L,3788,Primary,2.48,1223.87,17.03
BRK60Q5F,3788,Primary,0,1222.1,17.04
BRK61Q1L,3788,Primary,2.24,1227.63,16.97
BROAD48,3788,Primary,0,1571.53,19.19
BRU04CBD,3788,Primary,0.35,1805.76,19.48
BTN13Q6M,3788,Primary,0,1148.71,17.11
BTNA5Q4S,3788,Primary,20.29,1169.79,17.01
BTNH8Q4S,3788,Primary,21.05,1174.8,16.99
CB02N070,3788,Primary,4.74,1646.23,18.21
CTHB1Q1L,3788,Primary,7.19,1236.51,17.27
CTHE9Q1L,3788,Primary,10.59,1235.29,17.29
CUN002CS,3788,Primary,7.46,1222.06,16.16
EA_CT18,3788,Primary,1.38,1410.74,17.19
KB_008,3788,Primary,2.02,1287.75,16.99
KB_009,3788,Primary,1.81,1286.58,16.99
KB_010,3788,Primary,1.01,1291.2,16.97
KB_020,3788,Primary,0,1290.98,16.99
MK034,3788,Primary,0.91,1359.3,16.86
MK082,3788,Primary,12.8,1399.78,16.62
MNV70PIT,3788,Primary,4.69,1221.25,16.94
MNVB7Q1L,3788,Primary,3.62,1219.97,17.01
MNVD3Q2M,3788,Primary,4.93,1229.18,16.98
NUPIN005,3788,Primary,8.04,1672.68,18.11
PHC22Q5U,3788,Primary,22.17,1203.7,17.06
PHCC7C4Q,3788,Primary,31.79,1212.75,17.01
PUCKBB03,3788,Primary,3.88,1230.5,17.02
PUCKBB04,3788,Primary,3.14,1231.73,17.01
PUCKBB11,3788,Primary,2.27,1230.52,17.01
PUCKBB12,3788,Primary,2.21,1231.66,17
PUCKBB14,3788,Primary,3.42,1230.93,17
RPT005,3788,Primary,7.04,1143.46,17.43
RPT026,3788,Primary,2.33,1251.44,17.01
RRYNP01,3788,Primary,2.13,1456.12,18.8
SWNH6Q1U,3788,Primary,2.78,1166.89,17.43
VMP2CT19,3788,Primary,1.92,1363.97,16.84
WLL99Q0F,3788,Primary,2.36,1231.58,17.01
WLS30Q2F,3788,Primary,8.47,1133.66,17.5
WLTG1Q4C,3788,Primary,12.84,1158.3,17.24
WLTG3Q2F,3788,Primary,14.99,1155.42,17.23
WYN96Q,3788,Primary,14.58,1292.38,17.04
WYN98Q,3788,Primary,11.87,1294.19,17.02
KB_TUN01,3788,Primary,2.86,1233.19,16.93
KB_TUN11,3788,Primary,2.29,1229.91,16.95
KB_TUN14,3788,Primary,2.93,1233.19,16.93
BTNH1Q0F,3788,Primary,17.41,1174.2,17
KB_016,3788,Primary,0,1294.29,16.98
WYNA5Q,3788,Primary,16.16,1293.23,17.03
1NAD18,3788,Secondary,7.1,922.98,14.51
CTH92MNM,3788,Secondary,0,1236.77,17.3
EA_CB14,3788,Secondary,16.91,1378.41,16.75
GSF16Q2U,3788,Secondary,1.99,1286.56,17.04
GSF68MNM,3788,Secondary,1.78,1288.16,17.04
MURRAA02,3788,Secondary,12.33,1241.86,15.82
WLTG2Q3F,3788,Secondary,21.24,1153.75,17.21
BCRLB8,3788,Secondary,6.02,1320.18,16.64
MER4014T,3788,Secondary,12.15,1285.36,16.92
CTHC1N2C,3789,Primary,44.2,1234.48,17.31
GSF72MNM,3789,Primary,51.98,1288.86,17.04
MNV37N3C,3789,Primary,25.48,1214.04,17
MNV73PIT,3789,Primary,31.58,1210.64,17.06
MNV76PIT,3789,Primary,7.57,1203.98,17.07
MNV83PIT,3789,Primary,26.01,1212.95,17.01
MNV84PIT,3789,Primary,22.92,1215.11,16.99
MNVB5N2U,3789,Primary,24.35,1218.07,17.04
MNVB8N4M,3789,Primary,25.45,1212.3,17.05
MNVG0N3U,3789,Primary,26.7,1212.3,17.02
NOROHARCH4,3789,Primary,19.68,1285.55,17.07
PTH56MNOR,3789,Primary,26.4,1282.21,17.1
SCCJB16,3789,Primary,35.21,1263.84,15.92
TKL36Q,3789,Primary,8.36,1284.93,17.07
WYTRRID1,3789,Primary,120.55,1289.7,17.06
GSF66MNM,3789,Secondary,32.87,1288.64,17.07
BRU21CBD,3791,Primary,2.12,1796.99,19.52
FF_ALL057B,3791,Primary,3.71,1573.17,18.63
PFGHD4,3791,Primary,0.2,1702.34,19.87
ARAK16,3791,Primary,4.52,1810.37,19.62
TWE19CBD,3791,Primary,0,1710.58,19.86
TBHHD2,3791,Secondary,28.62,1833.16,19.29
BnBydN01,3792,Primary,15.56,865.06,14.71
BnBydN02,3792,Primary,37.24,879.04,14.59
BnBydN03,3792,Primary,13.34,875.88,14.63
GrCape03,3792,Primary,12.04,827.59,14.75
HaycPt01,3792,Primary,24.79,875.22,14.6
JMBE107,3792,Primary,12.8,830.56,14.74
JMBU006,3792,Primary,0,867.45,14.81
JMMIM02,3792,Primary,3,923.75,14.83
Kangar06,3792,Primary,23.22,923.73,14.6
Kangar08,3792,Primary,55.06,933.87,14.5
LongPt02,3792,Primary,23.72,860.87,14.72
LTL01,3792,Primary,4.75,867.58,14.62
LTL02,3792,Primary,17.98,875.71,14.57
LTL03,3792,Primary,43.61,885.82,14.49
LTL04,3792,Primary,27.24,854.08,14.78
NTura01,3792,Primary,1.46,863.08,14.8
NTura02,3792,Primary,1.2,861.88,14.8
NTura03,3792,Primary,0,861.04,14.82
SWCK01,3792,Primary,28.1,853.4,14.64
SWCK02,3792,Primary,16.79,842.65,14.75
SWCK03,3792,Primary,10.34,841.62,14.76
Tathra01,3792,Primary,9.7,903.57,14.84
Tathra02,3792,Primary,14.58,906.06,14.81
TuraHd01,3792,Primary,42.26,884.77,14.56
TuraHd02,3792,Primary,42.19,888.24,14.57
Turing01,3792,Primary,2.94,878.71,14.83
Turing02,3792,Primary,6.6,879.41,14.84
Turing03,3792,Primary,25.67,890.71,14.75
Turing04,3792,Primary,3.33,878.92,14.83
Turing05,3792,Primary,12.82,880.72,14.83
Turing06,3792,Primary,7.19,904.79,14.67
WML01O0F,3792,Primary,2.34,871.81,14.79
Kangar07,3792,Primary,15.31,918.56,14.65
1BEG6,3792,Secondary,10.26,942.91,14.77
1NAD19,3792,Secondary,12.31,927.03,14.47
GrCape02,3792,Secondary,33.7,843.47,14.55
GrCape04,3792,Secondary,16.75,827.41,14.75
GrCape07,3792,Secondary,24.33,822.31,14.64
JMNAD96,3792,Secondary,0.16,844.58,14.74
TuraHd03,3792,Secondary,28.18,880.01,14.61
GrCape06,3792,Secondary,25.63,831.74,14.59
JMPP207P,3792,Secondary,5.82,852.61,14.79
Kangar03,3792,Secondary,21.36,919.48,14.66
TuraHd04,3792,Secondary,40.84,890.01,14.55
CTH56P8X,3793,Primary,34.36,1196.52,17.38
CTH57PXV,3793,Primary,23.8,1212.03,17.26
CTH63PXV,3793,Primary,27.13,1206.22,17.28
CTHI4P7M,3793,Primary,8.39,1217.32,17.23
CTHI5P1C,3793,Primary,25.96,1229.62,17.15
MER3043,3793,Primary,24.56,1133.43,17.47
MNMQS34,3793,Primary,3.24,1229.56,17.32
SWNI6P8U,3793,Primary,45.29,1199.8,17.34
WLS36P1F,3793,Primary,19.55,1135.62,17.48
CTHJ0P2C,3793,Secondary,29.52,1206.78,17.35
MRN13R5C,3793,Secondary,50.72,1339.87,16.85
SWN69P4F,3793,Secondary,22.02,1211.55,17.22
MNMQS45,3793,Secondary,14.46,1233.52,17.32
WLS38P3U,3793,Secondary,82.6,1138.59,17.46
WYRRI02,3793,Secondary,102.55,1291.63,17.04
BBY049,3794,Primary,49.33,1354.55,16.79
CTHB2N2C,3794,Primary,13.81,1232.97,17.27
CTHE6N2C,3794,Primary,71.57,1244.49,17.17
CTHF0N7M,3794,Primary,17.15,1231.01,17.28
CTHG4N2U,3794,Primary,30.17,1230.1,17.29
CTHG5P3L,3794,Primary,24.53,1214.92,17.2
CTHH2P7U,3794,Primary,41.36,1220.3,17.23
CTHH5P8C,3794,Primary,33.66,1238.87,17.13
KRH88C5F,3794,Primary,1.55,1135.48,17.15
MNVB6N3M,3794,Primary,47.94,1221.68,17
PCBNPHD2,3794,Primary,87.3,1535.75,16.95
PCBNPHD3,3794,Primary,20.22,1517.04,17.06
PST12R7M,3794,Primary,53.12,1345.81,16.85
SWN23Q5F,3794,Primary,48.54,1196,17.13
SWN27Q7U,3794,Primary,54.56,1173.65,17.26
TKL34N4C,3794,Primary,27.01,1272.79,17.13
WLS14Q7U,3794,Primary,62.01,1191.39,17.14
WLS41P8F,3794,Primary,14.3,1163.31,17.25
HCR003,3794,Primary,45.68,1506.45,17.09
PST67Q7U,3794,Primary,73.28,1350.71,16.81
THSO6,3795,Primary,35.93,1394.24,18.2
PSHDSLQ1,3795,Primary,12.1,1509.74,17.07
THSO5,3795,Primary,22.33,1394.74,18.2
PGHCG3,3796,Primary,13.68,1511.03,17.04
TDH2,3796,Primary,9.28,1522.91,18.79
TDH3,3796,Primary,2.43,1524.68,18.77
TDH4,3796,Primary,21.63,1458.72,19.02
TDH5,3796,Primary,27.28,1448.98,19.1
TYN13A7F,3796,Primary,15.92,1338.71,18.8
STF05,3796,Primary,18.92,1400.55,18.59
BPT01Q1M,3796,Primary,14.27,1336.18,18.74
BPT06Q1M,3796,Primary,27.77,1324.13,18.71
WDB30Q1M,3796,Primary,31.87,1587.22,19.14
HAR001,3796,Primary,59.28,1389.27,18.4
HAR002,3796,Primary,41.02,1443.43,18.11
HCR001,3796,Primary,11.89,1500.07,17.11
HYU001,3796,Primary,31.06,1397.26,18.76
HYU002,3796,Primary,21.66,1394.38,18.79
HYU003,3796,Primary,21.16,1395.93,18.77
HYU004,3796,Primary,35.78,1399.08,18.69
HYU005,3796,Primary,16.35,1417.02,18.92
HYU015,3796,Primary,37.44,1402.85,18.65
HYU017,3796,Primary,10.49,1338.77,18.72
HYU018,3796,Primary,9.89,1336.04,18.77
HYU019,3796,Primary,22.09,1330.96,18.71
YUR005,3796,Primary,51.55,1449.08,18.9
YUR043,3796,Primary,21.77,1340.59,18.6
YUR044,3796,Primary,25.99,1337.14,18.61
YUR046,3796,Primary,8.39,1306.36,18.74
YUR048,3796,Primary,12.07,1309.5,18.69
YUR093,3796,Primary,8.34,1425.13,18.92
YUR097,3796,Primary,14.9,1336.77,18.75
YUR098,3796,Primary,14.35,1336.82,18.74
YUR103,3796,Primary,22.97,1328.28,18.72
YUR104,3796,Primary,23.11,1330.46,18.71
YUR105,3796,Primary,29.91,1346.03,18.61
YUR107,3796,Primary,1.38,1307.74,18.8
YUR112,3796,Primary,11.92,1423.66,18.82
YUR116,3796,Primary,6.48,1443.95,18.8
YUR146,3796,Primary,22.55,1431.38,18.94
YUR163,3796,Primary,2.1,1366.77,18.92
YUR167,3796,Primary,3.86,1406.1,18.95
YUR173,3796,Primary,17.24,1276.78,18.56
YUR176,3796,Primary,18.54,1316.62,18.71
YUR190,3796,Primary,4.27,1425.28,18.74
GILBCORRD08,3796,Secondary,6.72,1388.36,18.19
FF_ALL010,3796,Secondary,0.19,1548.39,18.68
UNE08060,3796,Secondary,6.07,1445.68,19.03
YUR047,3796,Secondary,9.31,1306.86,18.72
Kangar01,3797,Primary,7.34,914.46,14.75
Kangar02,3797,Primary,19.4,929.83,14.58
JMWAD01,3797,Primary,115.37,957.24,13.95
JMWAD07,3797,Primary,117.49,956.05,14.21
Acgeo05,3797,Primary,295.94,1015.47,13.81
Acgeo06,3797,Primary,6.37,880.56,14.59
JMWAD02,3797,Secondary,172,965.15,13.8
Acgeo07,3797,Secondary,21.38,932.15,14.56
Acgeo09,3797,Secondary,79.83,937.32,14.45
MRN10R2L,3798,Primary,12.8,1330.58,16.92
SPR04ABF,3799,Primary,25.67,830,16.89
SPR06ABF,3799,Primary,25.87,829.15,16.9
150530-2,3799,Primary,26.8,827.78,16.91
150530-3,3799,Primary,25.45,828.21,16.9
150530-5,3799,Primary,25.22,829.28,16.89
BNPTL01,3800,Primary,65.07,1273.71,17.02
BNPTL02,3800,Primary,71.29,1284.73,16.81
BNPTL05,3800,Primary,78.73,1286.88,16.83
BNPTL06,3800,Primary,67.91,1277.03,16.99
BNPTLO7,3800,Primary,65.7,1284.96,16.88
BNPTLO8,3800,Primary,81.45,1274.8,17.02
BNPTLO9,3800,Primary,73.55,1279.06,16.96
BNPTOL03,3800,Primary,73.82,1292.84,16.75
BNPTOL04,3800,Primary,86.87,1274.2,17.01
ARAK22,3801,Primary,5.78,1821.99,19.51
BROAD06,3801,Primary,11.02,1591.49,19.15
BROAD20,3801,Primary,3.83,1555.34,19.17
BROAD24,3801,Primary,3.85,1566.07,19.17
BROAD25,3801,Primary,5.97,1611.94,19.2
BROAD26,3801,Primary,5.9,1611.73,19.19
BROAD28,3801,Primary,13.88,1600.55,19.13
BROAD29,3801,Primary,10.49,1604.15,19.09
BROAD32,3801,Primary,15.67,1587.76,19.17
BROAD35,3801,Primary,4.42,1547.17,19.16
BROAD41,3801,Primary,2.75,1530.8,19.15
BROAD43,3801,Primary,2.6,1547.2,19.17
BROAD55,3801,Primary,21.45,1590.49,19.09
BROAD56,3801,Primary,18.99,1588.53,19.1
BYR06CBS,3801,Primary,1.81,1818.44,19.36
BYR07EST,3801,Primary,2.26,1819.61,19.36
BYR17CBD,3801,Primary,7.67,1801.87,19.59
BYR34EST,3801,Primary,4.53,1801.98,19.58
BYR35CBD,3801,Primary,6.34,1801.53,19.57
CBSR02,3801,Primary,14.07,1816.61,19.57
CCEEC011,3801,Primary,41.81,1516.51,19.07
CCEEC012,3801,Primary,64.02,1506.18,19.1
CUD01CBD,3801,Primary,0,1789.51,19.59
CUD06CBD,3801,Primary,5.88,1791.27,19.57
RP10006,3801,Primary,12.17,1364.34,18.78
TCHROMB2,3801,Primary,11.75,1366.6,18.79
TTYDHCS2,3801,Primary,0,1796.15,19.53
TWEED08,3801,Primary,2.49,1726.55,19.77
TWEED18,3801,Primary,0.02,1776.57,19.59
TWEED42,3801,Primary,8.45,1791.64,19.57
TWEED55,3801,Primary,4.4,1653.46,19.68
CDG07Q1F,3801,Primary,2.77,1798.58,19.54
CDG08Q1F,3801,Primary,7.93,1799.82,19.54
CDG10Q7F,3801,Primary,6.3,1793.99,19.55
CDG14Q7F,3801,Primary,3.15,1794.13,19.55
KRG01Q5F,3801,Primary,11.57,1422.11,17.96
KRG03Q1L,3801,Primary,10.89,1388.32,18.1
WDB07Q7F,3801,Primary,5.77,1571.86,19.15
NCT108-2,3801,Primary,6.82,1733.72,19.46
BLN11Q0F,3801,Primary,0,1746.55,19.52
BLN12Q0F,3801,Primary,2.98,1746.54,19.46
BPT02Q3L,3801,Primary,12.51,1362.49,18.81
BPT04Q7F,3801,Primary,21.2,1353.01,18.67
BPT05Q7F,3801,Primary,22.6,1349.82,18.75
BrokenHead08,3801,Primary,2.3,1821.49,19.34
TBM05Q4C,3801,Primary,14.14,1554.97,19.21
TBM08Q1L,3801,Primary,12.14,1544.78,19.18
TBM10Q1L,3801,Primary,4.58,1573.33,18.99
TBM11Q4M,3801,Primary,9.13,1574.98,19.18
TBM12Q8L,3801,Primary,3.89,1571.67,19.18
WBH03Q0F,3801,Primary,6.4,1407.99,18.99
WDB28Q0F,3801,Primary,4.61,1552.25,19.16
WDB29Q3M,3801,Primary,26.38,1595.96,19.11
HBR014,3801,Primary,4.09,1553.38,19.17
HBR016,3801,Primary,11.56,1595.83,19.14
HBR018,3801,Primary,9.68,1592.95,19.19
HBR021,3801,Primary,2.51,1531.85,19.22
HBR022,3801,Primary,2.82,1547.13,19.18
HBR023,3801,Primary,2.48,1546.88,19.17
HBR024,3801,Primary,0,1563.36,19.18
HBU005,3801,Primary,6.07,1457.47,19.05
HBU012,3801,Primary,2.23,1591.13,19.12
HBU014,3801,Primary,16.32,1589.32,19.11
HBU023,3801,Primary,50.11,1534.81,18.91
HBU024,3801,Primary,52.7,1559.05,18.76
HBU029,3801,Primary,15.81,1515.53,19.07
HBU033,3801,Primary,13.95,1515.26,19.05
HBU037,3801,Primary,5.98,1412.64,19
HBU039,3801,Primary,7.04,1416.29,19
HBU040,3801,Primary,5.19,1410.88,18.99
HBU044,3801,Primary,4.98,1411.51,19
HBU048,3801,Primary,5.05,1427.35,19.05
HBU050,3801,Primary,5.15,1421.5,19.02
HBU052,3801,Primary,3.12,1432.93,19.04
HBU053,3801,Primary,3.9,1434.39,19.07
HBU054,3801,Primary,2.33,1435.62,19.08
HHA002,3801,Primary,6.47,1403.9,18.18
HHA003,3801,Primary,12.88,1399.58,18.21
HHA005,3801,Primary,46.06,1397.13,18.27
HLI016,3801,Primary,10.16,1422.59,17.63
HMO003,3801,Primary,1.95,1576.06,18.5
HYU010,3801,Primary,9.82,1431.84,19.08
HYU011,3801,Primary,16.34,1438.95,19.07
HYU014,3801,Primary,12.71,1444.28,19.04
HYU030,3801,Primary,39.24,1395.69,18.74
HYU035,3801,Primary,22.68,1355.77,18.76
HYU036,3801,Primary,21.53,1349.43,18.75
HYU038,3801,Primary,25.15,1381.78,18.89
BROAD11,3801,Primary,13.04,1605.7,19.18
YUR003,3801,Primary,43.62,1446.11,18.94
YUR007,3801,Primary,32.85,1436.46,19.07
YUR018,3801,Primary,16.48,1363.31,18.77
YUR021,3801,Primary,0.56,1388.15,18.95
YUR022,3801,Primary,2.19,1389.06,18.94
YUR030,3801,Primary,3.25,1394.16,18.85
YUR031,3801,Primary,1.72,1393.36,18.95
YUR035,3801,Primary,13.89,1385.49,18.77
YUR058,3801,Primary,15.29,1373.37,18.73
YUR061,3801,Primary,16.01,1367.67,18.76
YUR065,3801,Primary,22.96,1359.84,18.75
YUR075,3801,Primary,32.89,1388.67,18.68
YUR081,3801,Primary,20.61,1395.68,18.67
YUR100,3801,Primary,2.95,1359.38,18.83
YUR120,3801,Primary,30.78,1431.75,18.67
YUR124,3801,Primary,47.13,1428.64,18.45
