"RCP","variables","char_freq"
"R1","Podoilic",1
"R1","Eucalong",1
"R1","Callendl",1
"R1","Lepigunn",1
"R1","Coryhenr",1
"R1","Asplflab",1
"R1","Ottograc",1
"R1","Diantasm",1
"R1","Cypegrac",1
"R1","Eucagloo",1
"R1","Hibbvest",1
"R1","Solabrow",1
"R1","Acacambl",1
"R1","Calllins",1
"R1","Ptildeut",1
"R1","Eucacali",1
"R1","Pimelati",1
"R1","Allolueh",1
"R1","Acacaula",1
"R1","Eremdebi",1
"R1","Cassunca",1
"R10","Entostri",14
"R10","Cheisies",13
"R10","Callglau",12
"R10","Lomalong",11
"R10","Careappr",10
"R10","Leptpoly",10
"R10","Junckraa",9
"R10","Blecindi",9
"R10","Melaquin",8
"R10","Casuglau",8
"R10","Parsstra",8
"R10","Pterescu",8
"R10","Platlanc",8
"R10","Phraaust",7
"R10","Austscab",7
"R10","Dianrevo",7
"R10","Gahnsieb",7
"R10","Cynodact",7
"R10","Lachfili",7
"R10","Calytetr",7
"R10","Baumjunc",7
"R10","Hydrsibt",7
"R10","Gonoelat",7
"R10","Geitcymo",6
"R10","Smilaust",6
"R10","Baumrubi",6
"R10","Lobeance",6
"R10","Empominu",6
"R10","Gleidica",6
"R10","Acaclonf",6
"R10","Lepilate",6
"R10","Sarcquiq",6
"R10","Callendl",6
"R10","Leptvari",5
"R10","Altedent",5
"R10","Balotetr",5
"R10","Diancaer",5
"R10","Pomaumbe",5
"R10","Centasia",5
"R10","Dickanta",5
"R10","Bracdaph",5
"R10","Cassglab",5
"R10","Micrstip",5
"R10","Lepttena",4
"R10","Trigstri",4
"R10","Allolueh",4
"R10","Eucadwye",4
"R10","Gahnaspe",4
"R10","Persstri",4
"R10","Caregaud",4
"R10","Persdeci",4
"R10","Isacglob",4
"R10","Sellradi",4
"R10","Schobrev",4
"R10","Monoelli",4
"R10","Pimelini",4
"R10","Pasudist",4
"R10","Acacdora",4
"R10","Arisramo",4
"R10","Sporvirg",3
"R10","Themtria",3
"R10","Leucneoa",3
"R10","Epilbill",3
"R10","Melaeric",3
"R10","Baumarti",3
"R10","Gahnclar",3
"R10","Lomamulm",3
"R10","Pyrrrupe",3
"R10","Leptmicc",3
"R10","Eucamica",3
"R10","Lepiclip",3
"R10","Leucmuti",3
"R10","Rumebrow",3
"R10","Lomafili",3
"R10","Leuclanc",3
"R10","Acaculic",3
"R10","Eucacama",2
"R10","Callpach",2
"R10","Bankinte",2
"R10","Panisimi",2
"R10","Allonana",2
"R10","Calocuni",2
"R10","Leptlaev",2
"R10","Pandpanp",2
"R10","Spinseri",2
"R10","Lepiarti",2
"R10","Eucacreb",2
"R10","Balopall",2
"R10","Allolitt",2
"R10","Dodovisc",2
"R10","Baumtere",2
"R10","Eucarobu",2
"R10","Stelangu",2
"R10","Hibbobtu",2
"R10","Avicausu",1
"R10","Samorepe",1
"R10","Rytiseta",1
"R10","Oxalpere",1
"R10","Einanuta",1
"R10","Suaeaust",1
"R10","Austdens",1
"R10","Meliurce",1
"R11","Geitcymo",19
"R11","Cissanta",13
"R11","Opliaemu",12
"R11","Mallphil",12
"R11","Parsstra",11
"R11","Jagepsps",11
"R11","Gynojasm",11
"R11","Guiosemg",11
"R11","Aphaphil",10
"R11","Ficucoro",10
"R11","Pseuvari",10
"R11","Maclcoch",10
"R11","Breyoblo",9
"R11","Opliimbe",9
"R11","Smilaust",9
"R11","Tabepand",8
"R11","Lomalong",8
"R11","Pandpanp",8
"R11","Archcunn",8
"R11","Notelong",8
"R11","Micrstip",7
"R11","Lophconf",7
"R11","Crypobov",7
"R11","Dichrepe",6
"R11","Diostran",6
"R11","Eustlati",6
"R11","Entostri",6
"R11","stepjapd",6
"R11","Troclaur",5
"R11","Pittmult",5
"R11","Wilkhueg",5
"R11","Adiahisp",5
"R11","Blecneoh",5
"R11","Tropscas",5
"R11","Acmesmit",5
"R11","Psycloni",5
"R11","Casucunc",4
"R11","Diospent",4
